Singapore Port Fee,Singapore Volume,Singapore Revenue
0,39180.0, 0.0
100,32620.0, 3262000.0
200,32620.0, 6524000.0
300,32620.0, 9786000.0
400,32620.0, 13048000.0
500,32620.0, 16310000.0
600,32550.0, 19530000.0
700,32550.0, 22785000.0
800,32550.0, 26040000.0
900,32550.0, 29295000.0
1000,32550.0, 32550000.0
1100,32550.0, 35805000.0
1200,32550.0, 39060000.0
1300,32550.0, 42315000.0
1400,32550.0, 45570000.0
1500,32544.0, 48816000.0
1600,32544.0, 52070400.0
1700,32544.0, 55324800.0
1800,32544.0, 58579200.0
1900,32544.0, 61833600.0
2000,32544.0, 65088000.0
2100,32544.0, 68342400.0
2200,32544.0, 71596800.0
2300,26204.0, 60269200.0
2400,26204.0, 62889600.0
2500,26204.0, 65510000.0
2600,26204.0, 68130400.0
2700,26204.0, 70750800.0
2800,26204.0, 73371200.0
2900,26204.0, 75991600.0
3000,26204.0, 78612000.0
3100,26204.0, 81232400.0
3200,26204.0, 83852800.0
3300,26204.0, 86473200.0
3400,26204.0, 89093600.0
3500,26204.0, 91714000.0
3600,26204.0, 94334400.0
3700,26204.0, 96954800.0
3800,26204.0, 99575200.0
3900,26204.0, 102195600.0
4000,26204.0, 104816000.0
4100,26204.0, 107436400.0
4200,26204.0, 110056800.0
4300,26204.0, 112677200.0
4400,26204.0, 115297600.0
4500,1864.0, 8388000.0
4600,1864.0, 8574400.0
4700,1864.0, 8760800.0
4800,1864.0, 8947200.0
4900,1864.0, 9133600.0
5000,1864.0, 9320000.0
5100,1864.0, 9506400.0
5200,1864.0, 9692800.0
5300,1864.0, 9879200.0
5400,1864.0, 10065600.0
5500,1864.0, 10252000.0
5600,1864.0, 10438400.0
5700,1864.0, 10624800.0
5800,1864.0, 10811200.0
5900,1864.0, 10997600.0
6000,1864.0, 11184000.0
6100,1864.0, 11370400.0
6200,1864.0, 11556800.0
6300,1864.0, 11743200.0
6400,1864.0, 11929600.0
6500,1864.0, 12116000.0
6600,1864.0, 12302400.0
6700,1864.0, 12488800.0
6800,1864.0, 12675200.0
6900,1864.0, 12861600.0
7000,1864.0, 13048000.0
7100,1864.0, 13234400.0
7200,1864.0, 13420800.0
7300,1864.0, 13607200.0
7400,1864.0, 13793600.0
7500,1864.0, 13980000.0
7600,1864.0, 14166400.0
7700,1864.0, 14352800.0
7800,1864.0, 14539200.0
7900,1864.0, 14725600.0
8000,1864.0, 14912000.0
8100,1864.0, 15098400.0
8200,1864.0, 15284800.0
8300,1864.0, 15471200.0
8400,1694.0, 14229600.0
8500,1688.0, 14348000.0
8600,1688.0, 14516800.0
8700,1688.0, 14685600.0
8800,0, 0
